temperature,density,heat_capacity,thermal_conductivity
300,7954,498.7328,13.96
400,7910,512.1216,15.53
500,7864,525.5104,17.1
600,7818,538.4808,18.68
700,7771,551.8696,20.25
800,7723,565.2584,21.82
900,7674,578.6472,23.39
1000,7624,591.6176,24.96
1100,7574,605.0064,26.53
1200,7523,618.3952,28.1
1300,7471,631.784,29.67
1400,7419,644.7544,31.25
1500,7365,658.1432,32.82
1600,7311,671.532,34.39
1700,7256,684.9208,35.96
