temperature,density,heat_capacity,thermal_conductivity
300,7894,510.0296,12.97
400,7860,523.4184,14.59
500,7823,536.8072,16.2
600,7783,550.196,17.82
700,7742,564.0032,19.44
800,7698,577.392,21.06
900,7652,590.7808,22.67
1000,7603,604.1696,24.29
1100,7552,617.5584,25.91
1200,7499,631.3656,27.53
1300,7444,644.7544,29.14
1400,7386,658.1432,30.76
1500,7326,671.532,32.38
1600,7264,685.3392,34
1700,7199,698.728,35.61
